Which of the following types of ticketed experience have you *attended in the past 5 years*?,"And overall, *how often do you go* to these types of activities?",Who do you typically *spend your free time with*?,And would you mind telling us *your age*?,"This experience is *inspired by TV game shows and escape rooms*.

It* *combines *thrills* with physical and mental *challenges*.

You go to a *purpose-built venue* with *2 to 15 other people*, 
and you all play *a series of minigames*. 

Right off the bat, does this *sound like something you would do*?",Did that description *make you think of any* of the following themes?,Did that description *make you think of any* of the following themes?,"*Welcome to Prison Island.*

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame*.

To what extent *would you like to go *to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

How do you think it compares *versus Prison Island*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go *to this?","*Welcome to Prison Island*.

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame.*

How do you think it compares *versus* *BRKThrough*?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*,

and whoever loses gets covered in paint!

To what extent *would you like to go* to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame.*

How do you think it compares *versus Glow or Go*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go* to this?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*, 

and whoever loses gets covered in paint!

How do you think it compares *versus BRKThrough*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?",And which one do you think *most people would prefer*?,And which one do you think *most people would prefer*?,Who would you expect to *have a better time at Prison Island*?,And how much would you expect *one ticket* *for* *Prison Island to cost*?,Who would you expect to *have a better time at BRKThrough*?,And how much would you expect *one ticket* *for* *BRKThrough to cost*?,Who would you expect to *have a better time at Glow or Go*?,And how much would you expect *one ticket* *for* *Glow or Go to cost*?,"*Alright that's all! *No more questions from our side.

Your* $15 gift code is on the next page*.

Make sure to *hit the button to record your answers *and complete the survey.

If you'd like to *share any closing thoughts*, type them here!",idu,c,ct,g,v,j,Submitted At,Token
"*Movies / Cinema*, *Exhibitions / Museums*, *Immersive Experiences*",*Once or twice a month*,"*Partner*, Other* family*, *Friends* - from *Work*",*65-74*,*I knew this* but *not for me*,,"*Heist*, *Videogame*, *Space*",,,2,,,,,,,They're *about the same*,,,*BRKThrough*,,,,Noone,0,,,I'm not the customer you are looking for,100771774,16,236,b,n,j,6/7/2026 23:33:52,igl2u83f9upvt1mmxbb17g9hmigl2u83
"*Immersive Experiences*, *Theatre / Performances*, *Music Concerts*, *Comedy Shows*, *Movies / Cinema*",*More than once a week*,"*Partner*, *Friends* - from *School*, *Friends* - from *Elsewhere*, *Friends* - from *Work*, *My child(ren)*",*35-44*,*Just found out* but *not for me*,,*Heist*,,,1,,,,,,,They're *about the same*,,,*BRKThrough*,,,,"*Young groups of friends*, *School trips*, *Mature groups of friends*, *Work groups / Teambuilding*",25,,,,85834287,21,236,b,v,n,6/7/2026 23:38:40,cjk9w7kn9aa30juwux7dcjk9w7ksi3wr
"*Theatre / Performances*, *Movies / Cinema*, *Music Concerts*, *Comedy Shows*, *Sports / Competitions*, *Exhibitions / Museums*, *Immersive Experiences*, *Nightlife / Festivals*",*Once a week*,*Partner*,*25-34*,I've *done this myself *in the past,,"*Videogame*, *Arcade*",,,,,,,5,5,,,,,,,,,,,,,,57578978,6,236,d,v,j,1/1/0001 0:00:00,3xof7vbjzcwgtq8rwqx3xof7wes1jmaq
"*Theatre / Performances*, *Movies / Cinema*, *Music Concerts*, *Comedy Shows*, *Sports / Competitions*, *Exhibitions / Museums*, *Immersive Experiences*, *Nightlife / Festivals*",*Once a week*,*Partner*,*25-34*,I've *done this myself *in the past,,"*Videogame*, *Arcade*",,,,,,,5,5,,,,,,*Glow or Go*,,,,,"*Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *Mature groups of friends*, *Families (with kids)*, *Families (only adults)*",25,,57578978,6,236,d,v,j,6/7/2026 23:42:41,3xof7vbjzcwgtq8rwqx3xof7wes1jmaq
"*Sports / Competitions*, *Movies / Cinema*, *Music Concerts*, *Theatre / Performances*, *Exhibitions / Museums*",*Once or twice a month*,,*65-74*,*Just found out* and am *interested*,,"*Heist*, *Sports*, Trivia",,,2,,,,,,,They're *about the same*,,,*Prison Island*,,*Families (only adults)*,20,,,,,,91087825,52,236,b,v,j,6/7/2026 23:44:17,36lmh49duuzfwfk36lkex9z82slca1t9
"*Movies / Cinema*, *Comedy Shows*, *Music Concerts*, *Sports / Competitions*, *Nightlife / Festivals*",*Once or twice a month*,,*45-54*,Actually I *really enjoy these*,,"*Sports*, *Videogame*",,,,,5,5,,,,,BRKThrough is *slightly better*,,,,,,Everyone,15,,,,53672695,54,236,c,v,j,6/7/2026 23:47:04,jq8bfxd2gv7sr13o8jq84vq7ufqhkosj
"*Theatre / Performances*, *Comedy Shows*, *Exhibitions / Museums*, *Sports / Competitions*, *Music Concerts*, *Immersive Experiences*",*Once or twice a month*,*Friends* - from *Elsewhere*,*55-64*,*Just found out* but *not for me*,,"*Videogame*, *Fairground*",1,3,,,,,,,BRKThrough is *slightly better*,,,,*BRKThrough*,,,,"*Friend gatherings / Birthdays*, *Work groups / Teambuilding*",20,,,,99597941,54,236,a,n,n,6/7/2026 23:50:52,go0lkc673jra1lgo0ha8l0op0ip1nmqf
"*Music Concerts*, *Immersive Experiences*, *Theatre / Performances*, *Movies / Cinema*, *Exhibitions / Museums*, *Sports / Competitions*",*Once or twice a year*,"*My child(ren)*, *Parent(s)*, *Friends* - from *Elsewhere*",*45-54*,Actually I *really enjoy these*,,,5,3,,,,,,,They're *about the same*,,,,,,,,"*Work groups / Teambuilding*, *School trips*, *Families (with kids)*, *Mature groups of friends*, *Friend gatherings / Birthdays*, *Families (only adults)*, *Tourists*, *Young groups of friends*",30,,,,35595602,114,236,a,v,l,6/7/2026 23:52:03,k8wkbzn9z1pnzy00tpysz60k8wkbznxi
"*Immersive Experiences*, *Theatre / Performances*, *Nightlife / Festivals*",*Once or twice a month*,*Partner*,*55-64*,*I knew this *and am* interested*,,Board games,,,,,,,3,2,,,,,,,,,,,,,,70097284,16,236,d,v,j,1/1/0001 0:00:00,cbwe9oxkzjcf2d3wps1cbwebg3iyc0v0
"*Theatre / Performances*, *Exhibitions / Museums*, *Movies / Cinema*, *Nightlife / Festivals*, *Immersive Experiences*, *Sports / Competitions*",*Once or twice a month*,*Partner*,*75-84*,"Don't know,* not sure I get it*",,*Heist*,3,2,,,,,,,Prison Island is *slightly better*,,,,*Prison Island*,,"*Friend gatherings / Birthdays*, *Families (with kids)*, *Families (only adults)*",25,,,,,,100533633,52,236,a,v,j,6/7/2026 23:54:45,3j749n2zb5z76ndn46u3j749ki45kfym
"*Immersive Experiences*, *Theatre / Performances*, *Nightlife / Festivals*",*Once or twice a month*,*Partner*,*55-64*,*I knew this *and am* interested*,,Board games,,,,,,,3,2,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,*Mature groups of friends*,30,,,,70097284,16,236,d,v,j,6/7/2026 23:55:07,cbwe9oxkzjcf2d3wps1cbwebg3iyc0v0
*Music Concerts*,*Once or twice a year*,,*55-64*,"Don't know,* not sure I get it*",,,2,,,,,,,,Prison Island is *slightly better*,,,,,,,,*Friend gatherings / Birthdays*,50,,,,61422294,16,236,a,v,j,6/7/2026 23:55:13,h3b9quw1odqyv2d7ich3b9uim0wntfuz
"*Theatre / Performances*, *Immersive Experiences*",*Once or twice a year*,"*Partner*, *Friends* - from *Elsewhere*",*45-54*,*Just found out* and am *interested*,,"*Heist*, *Space*",,,,,2,4,,,,,*BRKThrough *is* much better*,,,,,,"*Mature groups of friends*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*",50,,,,43927313,16,236,c,n,j,6/8/2026 0:06:58,824o4r17gd4dj5824o4r5nc08y7nqhoj
*Music Concerts*,*Every other month*,"*Partner*, *My child(ren)*, Other* family*",*55-64*,*I knew this *and am* interested*,,"*Heist*, *Videogame*",,,,,1,3,,,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,"*Work groups / Teambuilding*, *Tourists*, *Families (only adults)*, *Friend gatherings / Birthdays*, *Families (with kids)*, *Young groups of friends*",40,,,Keep up the great work!,82569334,6,236,c,v,j,6/8/2026 0:21:38,wleo4oqxapkuyz58shrwleo4nijwmdet
"*Immersive Experiences*, *Nightlife / Festivals*, *Talks / Conferences*, *Movies / Cinema*, *Theatre / Performances*, *Music Concerts*",*Once or twice a month*,"*Friends* - from *Elsewhere*, *Parent(s)*, *Partner*",*25-34*,Actually I *really enjoy these*,,"*Space*, *Fairground*, *Heist*, *Ocean*, *Bowling Alley*, *Clocks*",5,3,,,,,,,,,,,*Prison Island*,,"*Work groups / Teambuilding*, *Young groups of friends*, *Mature groups of friends*, *Families (only adults)*, *Friend gatherings / Birthdays*",25,,,,,Try doing a candlelight concert at Cherokee ranch in Sedalia,99702375,52,236,a,n,n,6/8/2026 0:24:41,oy28yb51qldy8v4j2nn6oy28yb51w0ps
"*Comedy Shows*, *Exhibitions / Museums*, *Theatre / Performances*, *Music Concerts*",*Every other week*,*Partner*,*55-64*,I've *done this myself *in the past,,*Videogame*,,,1,5,,,,,,*Prison Island *is* much better*,,,,,,,*Work groups / Teambuilding*,40,,,Have more immersive experiences like the bad gogh exhibit,26673383,16,236,b,v,j,6/8/2026 0:25:30,viwn7bjnhw227nviwnncldoem7s3t8hb
*Music Concerts*,*Once or twice a year*,"*Parent(s)*, *Partner*",*25-34*,"Don't know,* not sure I get it*, I know *people who would* *like* this",,"*Space*, *Heist*, *Ocean*",,,4,3,,,,,,Prison Island is *slightly better*,,,*BRKThrough*,,,,"*Mature groups of friends*, *Friend gatherings / Birthdays*, *Families (only adults)*",45,,,,88561806,6,236,b,v,j,6/8/2026 0:29:24,mm5kxo9u8kg2643bhhmm5kx5q0v21740
"*Music Concerts*, *Movies / Cinema*, *Theatre / Performances*, *Exhibitions / Museums*, *Nightlife / Festivals*, *Immersive Experiences*",*Every other month*,,*65-74*,"I know *people who would* *like* this, I know *people who do* this, I've *done this myself *in the past, Actually I *really enjoy these*",,*Clocks*,4,5,,,,,,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,,"*Work groups / Teambuilding*, *Mature groups of friends*, *Young groups of friends*, *Friend gatherings / Birthdays*",35,,,,31079070,21,236,a,n,n,6/8/2026 0:29:26,6coomw9ooqqas6coomwrlpxiqer4jw8r
"*Theatre / Performances*, *Exhibitions / Museums*, *Sports / Competitions*, *Movies / Cinema*, *Comedy Shows*, *Music Concerts*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*, *My child(ren)*, Other* family*",*55-64*,,,"*Arcade*, *Sports*, *Videogame*",,,,,,,4,2,,,,,,,,,,,,,,32928140,54,236,d,v,n,1/1/0001 0:00:00,cwewzqoka0r9x8cw8fjninbk9mj5j7jd
"*Theatre / Performances*, *Exhibitions / Museums*, *Sports / Competitions*, *Movies / Cinema*, *Comedy Shows*, *Music Concerts*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*, *My child(ren)*, Other* family*",*55-64*,,,"*Arcade*, *Sports*, *Videogame*",,,,,,,4,2,,,,Glow or Go is *slightly better*,,*BRKThrough*,,,"*Families (with kids)*, *Young groups of friends*, *Families (only adults)*, *Work groups / Teambuilding*",45,,,,32928140,54,236,d,v,n,6/8/2026 0:34:37,cwewzqoka0r9x8cw8fjninbk9mj5j7jd
"*Movies / Cinema*, *Theatre / Performances*, *Comedy Shows*, *Music Concerts*, *Talks / Conferences*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Sports / Competitions*, Dance",*Once a week*,"*My child(ren)*, *Friends* - from *Elsewhere*, *Partner*",*35-44*,"I know *people who would* *like* this, *I knew this *and am* interested*",,"*Dance*, *Arcade*, *Videogame*",,,,,,,5,4,,,,,,,,,,,,,,29560916,21,236,d,v,j,1/1/0001 0:00:00,luesyj2amzmv4e8if1pzluesy1810qhi
"*Movies / Cinema*, *Theatre / Performances*, *Comedy Shows*, *Music Concerts*, *Talks / Conferences*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Sports / Competitions*, Dance",*Once a week*,"*My child(ren)*, *Friends* - from *Elsewhere*, *Partner*",*35-44*,"I know *people who would* *like* this, *I knew this *and am* interested*",,"*Dance*, *Arcade*, *Videogame*",,,,,,,5,4,,,,*Glow or Go *is* much better*,,*Glow or Go*,,,,,"*School trips*, *Tourists*, *Young groups of friends*, *Families (with kids)*, *Families (only adults)*, *Friend gatherings / Birthdays*",30,,29560916,21,236,d,v,j,6/8/2026 0:35:39,luesyj2amzmv4e8if1pzluesy1810qhi
"*Exhibitions / Museums*, *Movies / Cinema*, *Sports / Competitions*, *Nightlife / Festivals*, *Theatre / Performances*, *Music Concerts*",*Every other month*,"Other* family*, *Friends* - from *Elsewhere*",*55-64*,"Don't know,* not sure I get it*",,*Clocks*,,,2,,,,,,,They're *about the same*,,,,,,,*Young groups of friends*,15,,,,98148424,21,236,b,n,n,6/8/2026 0:37:04,ssaug4z8kzsye1ympslssaugiklw7aei
"*Immersive Experiences*, *Nightlife / Festivals*, *Music Concerts*, *Movies / Cinema*, *Theatre / Performances*, *Sports / Competitions*, *Exhibitions / Museums*, *Comedy Shows*, *Talks / Conferences*",*Every other week*,"*Friends* - from *Elsewhere*, *Sibling(s)*",*25-34*,Actually I *really enjoy these*,,"*Heist*, *Dance*, *Arcade*, *Clocks*, *Sports*, *Space*",,,,,,,4,,,,,,,,,,,,,,,38722615,52,236,d,n,n,1/1/0001 0:00:00,nrpj07xnhbb121iy3wfnrpj07sufr9zs
"*Immersive Experiences*, *Nightlife / Festivals*, *Music Concerts*, *Movies / Cinema*, *Theatre / Performances*, *Sports / Competitions*, *Exhibitions / Museums*, *Comedy Shows*, *Talks / Conferences*",*Every other week*,"*Friends* - from *Elsewhere*, *Sibling(s)*",*25-34*,Actually I *really enjoy these*,,"*Heist*, *Dance*, *Arcade*, *Clocks*, *Sports*, *Space*",,,,,,,4,,,,They're *about the same*,,,*Glow or Go*,,,,,*Young groups of friends*,25,,38722615,52,236,d,n,n,6/8/2026 0:59:28,nrpj07xnhbb121iy3wfnrpj07sufr9zs
"*Immersive Experiences*, *Nightlife / Festivals*, *Sports / Competitions*, *Movies / Cinema*, *Exhibitions / Museums*, *Comedy Shows*",*Every other month*,*Friends* - from *Elsewhere*,*25-34*,*Just found out* and am *interested*,,*Videogame*,3,5,,,,,,,*BRKThrough *is* much better*,,,,,,,,Everyone,25,,,,32802504,21,236,a,v,j,6/8/2026 1:01:25,9xihinb270gclvu9xihr6kj8ukuzg81f
"*Talks / Conferences*, *Exhibitions / Museums*, *Immersive Experiences*, *Sports / Competitions*, *Movies / Cinema*, *Nightlife / Festivals*",*Once or twice a year*,,*35-44*,I've *done this myself *in the past,,*Videogame*,1,5,,,,,,,,,,,*BRKThrough*,,,,"*Families (with kids)*, *Mature groups of friends*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*, *Tourists*",60,,,,100094883,21,236,a,n,n,6/8/2026 1:06:46,59xahvty8u8wmd5hwh559xajb8mugty6
"*Immersive Experiences*, *Exhibitions / Museums*",*Once or twice a year*,"*Friends* - from *Elsewhere*, *Sibling(s)*, *Parent(s)*, *Friends* - from *School*",*18-24*,"Actually I *really enjoy these*, I know *people who would* *like* this",,"*Heist*, *Space*, *Arcade*, *Dance*, *Videogame*",5,4,,,,,,,,They're *about the same*,,,*Prison Island*,,"*Tourists*, *Mature groups of friends*, *Young groups of friends*, *Families (only adults)*, *Families (with kids)*, *Work groups / Teambuilding*, *School trips*, *Friend gatherings / Birthdays*",40,,,,,,58331059,21,236,a,v,n,6/8/2026 1:12:13,dm88lkruf0eqxoaasnwos4zdm88lkru4
"*Immersive Experiences*, *Exhibitions / Museums*",*Once or twice a year*,,*45-54*,*Just found out* but *not for me*,Whatever my kids want to go too!,,,,,,2,2,,,,,They're *about the same*,,,*Glow or Go*,,,,,*Young groups of friends*,40,,38397035,21,236,c,n,l,6/8/2026 1:18:21,r0nuq59nkugd5p4jr0nuqr7688p58g32
"*Comedy Shows*, *Music Concerts*, *Sports / Competitions*, *Nightlife / Festivals*, *Movies / Cinema*",*Once or twice a month*,"*Sibling(s)*, *Parent(s)*, *Friends* - from *Work*, *Friends* - from *Elsewhere*, *Friends* - from *School*",*35-44*,I know *people who do* this,,*Arcade*,4,5,,,,,,,,They're *about the same*,,,,,,,*Friend gatherings / Birthdays*,,,,,96339900,16,236,a,v,j,6/8/2026 1:56:28,1luy3rcpldks4ni9oy9dmdk3k1luy3rc
*Immersive Experiences*,*Less than that*,*Friends* - from *Elsewhere*,*45-54*,*Just found out* and am *interested*,,*Heist*,,,4,4,,,,,,*Prison Island *is* much better*,,,*Prison Island*,,"*Families (with kids)*, *Work groups / Teambuilding*, *Mature groups of friends*, *Young groups of friends*, *School trips*",35,,,,,,96938142,21,236,b,n,j,6/8/2026 2:07:50,7wr1npp0yrj428i1smkl7wr1nppcb5q8
"*Sports / Competitions*, *Theatre / Performances*, *Music Concerts*, *Immersive Experiences*, *Exhibitions / Museums*",*Once or twice a month*,,*65-74*,*I knew this *and am* interested*,,"*Arcade*, *Videogame*",,,,,5,3,,,,,,,,*Glow or Go*,,,,,,25,,83233679,21,236,c,v,j,6/8/2026 2:18:24,soa6xcrafc8cs0p25wdsoa6x763nvdts
"*Theatre / Performances*, *Immersive Experiences*",*Once or twice a month*,*My child(ren)*,*35-44*,Actually I *really enjoy these*,,*Videogame*,1,2,,,,,,,,They're *about the same*,,,*Prison Island*,,,25,,,,,,69039206,52,236,a,v,j,6/8/2026 2:25:38,tkiqjyy7wwytkiqo66mtgzrn4xzo6owo
"*Music Concerts*, *Immersive Experiences*, *Exhibitions / Museums*",*Once or twice a year*,"*Friends* - from *Elsewhere*, *Partner*",*25-34*,"*I knew this *and am* interested*, I know *people who would* *like* this",,"*Videogame*, *Space*",,,,,,,4,5,,,,,,,,,,,,,,40672294,52,236,d,v,n,1/1/0001 0:00:00,wihzpkxh2w5erffxu6q3y58wihzpkxuy
"*Theatre / Performances*, *Nightlife / Festivals*, *Movies / Cinema*, *Exhibitions / Museums*, *Sports / Competitions*, *Music Concerts*, *Talks / Conferences*, *Immersive Experiences*, *Comedy Shows*",*Every other week*,"*Friends* - from *Work*, Other* family*, *Friends* - from *Elsewhere*, *Sibling(s)*",*45-54*,*Just found out* and am *interested*,,"*Arcade*, *Sports*",,,,,,,5,3,,,,,,,,,,,,,,30470011,54,236,d,n,n,1/1/0001 0:00:00,zixq0k6og74rxkm16nf8zixq0kws2c7g
"*Music Concerts*, *Immersive Experiences*, *Exhibitions / Museums*",*Once or twice a year*,"*Friends* - from *Elsewhere*, *Partner*",*25-34*,"*I knew this *and am* interested*, I know *people who would* *like* this",,"*Videogame*, *Space*",,,,,,,4,5,,,,,,*Glow or Go*,,,,,"*Young groups of friends*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*, *Families (with kids)*, *Tourists*, *School trips*",30,,40672294,52,236,d,v,n,6/8/2026 2:33:41,wihzpkxh2w5erffxu6q3y58wihzpkxuy
"*Theatre / Performances*, *Nightlife / Festivals*, *Movies / Cinema*, *Exhibitions / Museums*, *Sports / Competitions*, *Music Concerts*, *Talks / Conferences*, *Immersive Experiences*, *Comedy Shows*",*Every other week*,"*Friends* - from *Work*, Other* family*, *Friends* - from *Elsewhere*, *Sibling(s)*",*45-54*,*Just found out* and am *interested*,,"*Arcade*, *Sports*",,,,,,,5,3,,,They're *about the same*,,,,,,"*Friend gatherings / Birthdays*, *Mature groups of friends*, *Work groups / Teambuilding*",30,,,,30470011,54,236,d,n,n,6/8/2026 2:35:05,zixq0k6og74rxkm16nf8zixq0kws2c7g
"*Exhibitions / Museums*, *Theatre / Performances*, *Music Concerts*, *Movies / Cinema*, *Sports / Competitions*, *Immersive Experiences*",*Every other month*,"*Partner*, *Friends* - from *Elsewhere*, *Parent(s)*, Other* family*",*45-54*,*Just found out* and am *interested*,,"*Heist*, *Clocks*, *Space*, *Ocean*",3,5,,,,,,,,*BRKThrough *is* much better*,,,,,,,"*Families (only adults)*, *Mature groups of friends*",40,,,,96499636,52,236,a,n,n,6/8/2026 2:47:52,zoadlu54mvzudosx3zoadlimwqpulwrt
"*Movies / Cinema*, *Nightlife / Festivals*, *Theatre / Performances*, *Sports / Competitions*, *Music Concerts*, *Comedy Shows*, *Exhibitions / Museums*, *Talks / Conferences*",*More than once a week*,"*Partner*, *Friends* - from *Elsewhere*, *My child(ren)*",*55-64*,*Just found out* and am *interested*,,,,,,,1,3,,,,,,,,*BRKThrough*,,,,75,,,,99187337,52,236,c,n,j,6/8/2026 2:58:55,ztg90jf1zk46mor9ppztg96dewnzedp7
"*Sports / Competitions*, *Theatre / Performances*, *Exhibitions / Museums*, *Movies / Cinema*",*Once or twice a month*,"*My child(ren)*, *Partner*",*35-44*,,,*Arcade*,,,4,3,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,*Mature groups of friends*,35,,,,,,91630325,21,236,b,v,n,6/8/2026 3:48:25,g8mzgs4cbk9oyoi9hg8mzapsavpxz5xs
"*Theatre / Performances*, *Exhibitions / Museums*, *Comedy Shows*, *Talks / Conferences*, *Nightlife / Festivals*",*Once a week*,"*Friends* - from *Elsewhere*, *Parent(s)*, Other* family*, *Sibling(s)*",*25-34*,Actually I *really enjoy these*,,"*Bowling Alley*, *Ocean*, *Arcade*, *Sports*, *Fairground*",,,5,5,,,,,,*BRKThrough *is* much better*,,,*Prison Island*,,"*Work groups / Teambuilding*, *Mature groups of friends*",12,,,,,,96389854,16,236,b,v,j,6/8/2026 3:48:41,q6955wuhr03i9oq69r16hpnu3suil7k0
"*Immersive Experiences*, *Comedy Shows*, *Sports / Competitions*, *Theatre / Performances*, *Music Concerts*, *Movies / Cinema*",*Once or twice a month*,*Friends* - from *Work*,*25-34*,*Just found out* and am *interested*,,"*Heist*, Escape room",,,,,4,4,,,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,"*Work groups / Teambuilding*, *Mature groups of friends*",35,,,,98006755,54,236,c,n,n,6/8/2026 3:55:45,9bfkqsxrnktywg1w99bfkqswqz9ocvhp
"*Theatre / Performances*, *Movies / Cinema*",*Every other week*,*Partner*,*35-44*,"Don't know,* not sure I get it*",,*Videogame*,,,,,,,3,4,,,,,,,,,,,,,,86549918,21,236,d,v,n,1/1/0001 0:00:00,iry5z9elecsf2cky4iry5zly290fup51
"*Theatre / Performances*, *Movies / Cinema*",*Every other week*,*Partner*,*35-44*,"Don't know,* not sure I get it*",,*Videogame*,,,,,,,3,4,,,,Glow or Go is *slightly better*,,,,,*Families (with kids)*,25,,,,86549918,21,236,d,v,n,6/8/2026 4:11:18,iry5z9elecsf2cky4iry5zly290fup51
*Theatre / Performances*,*Every other month*,"*Partner*, Other* family*, *My child(ren)*",*45-54*,"*I knew this *and am* interested*, I've *done this myself *in the past",,"*Space*, *Ocean*, *Heist*, *Clocks*",4,3,,,,,,,,,,,*BRKThrough*,,,,,40,,,,81701129,52,236,a,v,j,6/8/2026 4:17:00,tao1ijdlvw4xltao1i8aua5too0bhdr8
"*Talks / Conferences*, *Music Concerts*, *Nightlife / Festivals*, *Movies / Cinema*, *Sports / Competitions*, *Theatre / Performances*, *Immersive Experiences*",*Every other week*,"*Partner*, *Parent(s)*, *My child(ren)*, *Friends* - from *Work*",*45-54*,"I know *people who do* this, I know *people who would* *like* this, *Just found out* and am *interested*",,"*Heist*, *Dance*",5,1,,,,,,,,*Prison Island *is* much better*,,,*Prison Island*,,"*Work groups / Teambuilding*, *Mature groups of friends*",25,,,,,,47689300,54,236,a,n,j,6/8/2026 4:30:23,yqr5kpr4pnmmyabn1qgyqr5kjiufohsk
"*Immersive Experiences*, *Sports / Competitions*, *Movies / Cinema*, *Music Concerts*, *Comedy Shows*, *Exhibitions / Museums*, *Theatre / Performances*",,"*Friends* - from *Work*, *Friends* - from *Elsewhere*, *My child(ren)*",*55-64*,I know *people who do* this,"*Clocks*, *Heist*, Game show",,3,5,,,,,,,BRKThrough is *slightly better*,,,,,,,,"*Families (with kids)*, *Friend gatherings / Birthdays*, *Young groups of friends*, *Families (only adults)*",40,,,,27896131,16,236,a,n,l,6/8/2026 4:53:13,e82a79ckr168zryqscacxle82a75wf7u
*Movies / Cinema*,*Less than that*,*Partner*,*65-74*,*Just found out* but *not for me*,,escape room,,,,,,,2,1,,,,,,,,,,,,,,79449701,54,236,d,n,n,1/1/0001 0:00:00,ktjt8am9d3wv49kkq1qktjt8amjqye2z
*Movies / Cinema*,*Less than that*,*Partner*,*65-74*,*Just found out* but *not for me*,,escape room,,,,,,,2,1,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,*Mature groups of friends*,20,,,,79449701,54,236,d,n,n,6/8/2026 5:02:08,ktjt8am9d3wv49kkq1qktjt8amjqye2z
,*Less than that*,"*My child(ren)*, *Parent(s)*, *Friends* - from *Elsewhere*, Other* family*",*35-44*,*Just found out* and am *interested*,,"*Bowling Alley*, *Videogame*",,,,,,,5,5,,,,,,,,,,,,,,99639690,52,236,d,n,n,1/1/0001 0:00:00,16r0mxzwpke0ep6oxe116r0m1uucdbp1
,*Less than that*,"*My child(ren)*, *Parent(s)*, *Friends* - from *Elsewhere*, Other* family*",*35-44*,*Just found out* and am *interested*,,"*Bowling Alley*, *Videogame*",,,,,,,5,5,,,,They're *about the same*,,,,,"*Families (only adults)*, *Friend gatherings / Birthdays*, *Mature groups of friends*",,,,,99639690,52,236,d,n,n,6/8/2026 5:38:56,16r0mxzwpke0ep6oxe116r0m1uucdbp1
"*Exhibitions / Museums*, *Comedy Shows*, *Movies / Cinema*, *Theatre / Performances*, *Talks / Conferences*, *Music Concerts*, *Sports / Competitions*",*Once or twice a month*,"*Parent(s)*, *Friends* - from *Elsewhere*, *Partner*, *Sibling(s)*, Other* family*",*35-44*,*I knew this* but *not for me*,"*Videogame*, *Arcade*, *Clocks*, *Heist*, *Jail*",,,,,,,,1,1,,,,,,,,,,,,,,96308256,21,236,d,n,l,1/1/0001 0:00:00,znb9tq0k1l6zm2w9udx0znb9ttk368p2
"*Exhibitions / Museums*, *Comedy Shows*, *Movies / Cinema*, *Theatre / Performances*, *Talks / Conferences*, *Music Concerts*, *Sports / Competitions*",*Once or twice a month*,"*Parent(s)*, *Friends* - from *Elsewhere*, *Partner*, *Sibling(s)*, Other* family*",*35-44*,*I knew this* but *not for me*,"*Videogame*, *Arcade*, *Clocks*, *Heist*, *Jail*",,,,,,,,1,1,,,,They're *about the same*,,*BRKThrough*,,,"*Work groups / Teambuilding*, *Young groups of friends*, *Friend gatherings / Birthdays*",25,,,,96308256,21,236,d,n,l,6/8/2026 6:14:45,znb9tq0k1l6zm2w9udx0znb9ttk368p2
"*Immersive Experiences*, *Movies / Cinema*, *Theatre / Performances*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Music Concerts*, *Comedy Shows*",*Once or twice a month*,"*Friends* - from *School*, *Parent(s)*, *Friends* - from *Work*, *Friends* - from *Elsewhere*, Other* family*",*35-44*,"Don't know,* not sure I get it*",,"*Arcade*, *Videogame*, *Sports*",,,,,,,3,2,,,,,,,,,,,,,,25876801,16,236,d,v,j,1/1/0001 0:00:00,pqwkztxiimrsq2r9f08coupqwkztxz7u
